poi_id,category_id
25574736,48
25303789,76
11918966,48
2154294,48
24162332,72
20910619,77
6721127,78
11746398,48
33972276,48
7109031,72
27939068,79
10525874,56
12231655,41
27747708,80
2334935,48
21493307,81
19476887,82
27296727,56
3749935,48
15592702,48
8602875,69
17543751,63
967468,83
7141990,56
6994939,56
32843138,48
9467065,56
14776389,69
33222223,48
1546696,48
26322637,62
6961416,56
8775058,84
10068595,41
17379155,41
8071230,41
4170589,85
28120938,69
455410,72
17604603,27
28285527,48
8517570,86
27130109,87
6601902,56
19259802,48
12295934,48
4881460,56
8599407,88
8602484,48
27686907,41
7273452,72
34002993,89
20171721,27
7596221,56
7057020,48
15212886,48
27478200,48
1371527,48
19408793,48
3567267,48
11741717,56
4771094,56
14116019,48
28559328,90
20295587,91
14054034,81
8317497,56
28108702,48
10926187,92
12365770,69
8610811,93
12374411,48
25073674,48
13934245,56
6351606,94
3763209,56
4411306,95
10092053,28
2044621,96
16811556,97
12969306,48
30703267,72
27173896,98
12432519,77
2414201,48
27128455,48
12698370,77
14134897,99
7700073,100
4097768,101
33338784,48
2559479,69
25065842,48
5957860,48
4108043,72
26720262,48
1170827,102
27707365,56
26875853,56
25354953,48
23736709,48
11872390,48
11899009,48
6982572,67
4177826,103
28454178,87
26791887,48
8869748,77
4552856,56
25973054,87
26267736,48
12600679,56
5921457,48
13984791,48
10455052,48
24001941,56
11690404,48
10117391,104
9754920,72
3432676,72
11710229,48
12838076,56
1930367,56
27525288,48
33320290,48
7241907,56
17118070,56
16656422,56
28010412,48
18940966,56
8432743,72
3394479,72
25229877,48
2726268,48
9563623,56
3397942,48
3815598,72
25006681,48
6385014,99
32786147,48
6956299,56
33333014,48
12584392,48
7310219,105
7205645,56
2417715,48
26773215,48
1746272,67
21142314,56
18453788,72
13123395,92
24051572,69
28466845,48
17596766,76
33948567,48
29009530,48
20300693,48
15528737,63
25171188,106
13162032,80
7154018,107
8856586,48
23718217,48
32908268,56
6498863,48
2187722,48
23241279,48
5038003,56
2099329,108
1837685,109
33404918,77
8262761,110
25053984,48
1636752,111
13340286,56
4873291,56
26916395,48
25093665,48
6774221,48
14960488,69
11437030,56
17212823,112
12788024,48
6827604,110
24977107,113
10694795,114
17838697,56
2149556,115
10767864,48
16882798,48
7396352,48
10836066,116
11879452,48
12212953,48
12848297,92
2004786,96
10044301,117
3948543,118
28252124,119
19163793,63
17801726,63
26223282,120
33301162,121
33301162,122
25789447,123
18830093,124
13073660,109
8647034,96
19323919,63
24131945,124
2264651,125
8856664,126
13441867,127
5539395,109
15019919,63
12226320,128
12226320,129
15296299,130
13421912,104
15278678,131
8263413,78
16872213,132
2273094,63
7767149,133
17379413,134
24010769,135
11918882,136
26730795,63
13447187,130
3617391,137
13442216,138
34036748,139
33212849,124
33678444,140
33678444,141
27533962,142
4480894,63
5982006,118
1307686,143
20661122,67
13006978,144
24902115,145
5501655,63
17733614,118
7339857,146
7194403,63
15681266,113
5461656,118
34064312,93
6387515,137
25293417,147
25293417,148
25234074,149
17548235,104
11544014,63
2487716,150
24122789,67
6429729,151
6560716,94
2435196,152
13391755,118
15522949,124
28055218,140
28055218,153
28055218,154
17604040,155
2266103,130
14790505,145
3959210,145
2424536,130
8291676,118
2435402,156
12124708,130
27689774,63
8765849,157
13871488,158
2226088,159
18207039,160
12204583,109
26830472,147
26830472,161
11612118,118
12508941,118
14025564,93
1997306,162
17762416,118
27640676,140
27640676,163
26998060,164
28110943,101
28043812,69
27946568,128
27946568,129
23470134,165
23470134,154
7065652,67
12250546,118
17600319,123
26867653,166
15592663,167
34418206,92
17607737,131
34495164,48
25406507,168
33007917,48
8810040,159
30236236,48
16159007,124
4237570,169
12150062,72
27105186,170
14086619,124
24996778,124
28001024,114
27175388,98
12387550,171
19331065,168
12829824,118
8009540,78
17282150,137
25129936,124
11435831,172
32811188,78
27926877,48
25257326,48
34262636,56
28016792,72
16698454,48
33116956,48
26923954,48
4223482,173
17427697,96
5991449,147
5991449,148
27951546,174
28044127,69
34389096,72
25553159,140
25553159,175
9754912,136
29788030,176
15638160,63
10794820,118
24970697,177
26343200,145
28029827,48
8445328,136
12878764,178
34311620,48
7228353,72
27463172,109
24125688,67
26877580,48
25009311,72
14767124,48
13322086,48
8040226,63
33265191,48
24155502,155
33286153,179
25388349,180
6131915,48
34420172,118
8851161,145
6876742,134
25454511,48
25400195,136
26247731,181
24185430,48
33440442,182
33881768,56
16835208,48
28233779,158
28792409,183
29014463,184
27094243,185
5501649,149
33413371,56
10844679,63
26633301,48
17332813,118
32710059,180
27747601,186
2233150,126
2216808,147
2216808,154
33374875,98
33951141,69
25463590,187
19526685,140
19526685,188
2100931,118
33161085,48
25191918,48
12968833,48
33067695,189
11624295,190
26725728,48
20409697,77
17220125,73
26819524,191
12698554,48
27796521,48
15300727,114
7942420,118
33444435,182
