user_id,origin_id
1408,278.0
1409,1.0
1410,42.0
1411,226.0
1412,1.0
1413,1.0
1414,376.0
1415,243.0
1416,2.0
1417,377.0
1418,378.0
1420,64.0
1421,1.0
1422,379.0
1423,380.0
1424,381.0
1425,1.0
1427,1.0
1428,1.0
1429,1.0
1430,2.0
1431,382.0
1433,1.0
1436,2.0
1440,1.0
1441,1.0
1444,383.0
1445,384.0
1449,64.0
1450,2.0
1451,22.0
1452,88.0
1455,22.0
1456,1.0
1457,1.0
1459,385.0
1461,1.0
1462,1.0
1463,5.0
1464,1.0
1465,386.0
1466,1.0
1467,1.0
1468,88.0
1469,1.0
1470,1.0
1473,1.0
1475,1.0
1476,1.0
1480,2.0
1481,1.0
1482,1.0
1485,17.0
1487,1.0
1488,2.0
1491,387.0
1492,1.0
1494,1.0
1496,2.0
1497,27.0
1498,388.0
1499,56.0
1500,88.0
1501,1.0
1503,1.0
1505,3.0
1506,1.0
1508,96.0
1509,389.0
1510,1.0
1513,390.0
1516,391.0
1517,368.0
1519,392.0
1521,42.0
1522,393.0
1523,394.0
1525,329.0
1526,395.0
1527,64.0
1528,396.0
1530,124.0
1531,1.0
1532,1.0
1533,77.0
1534,397.0
1535,130.0
1536,398.0
1537,399.0
1538,22.0
1540,236.0
1541,42.0
1542,400.0
1544,14.0
1545,188.0
1546,401.0
1548,370.0
1549,402.0
1552,1.0
1553,1.0
1555,403.0
1556,1.0
1557,404.0
1559,405.0
1560,38.0
1561,406.0
1563,407.0
1564,408.0
1567,409.0
1568,410.0
1569,154.0
1570,234.0
1571,411.0
1572,412.0
1573,413.0
1574,414.0
1576,300.0
1577,415.0
1579,416.0
1582,176.0
1584,417.0
1585,3.0
1586,418.0
1587,2.0
1588,3.0
1589,1.0
1590,3.0
1591,419.0
1592,78.0
1593,420.0
1594,421.0
1595,422.0
1596,423.0
1598,130.0
1599,233.0
1600,202.0
1601,424.0
1602,41.0
1603,425.0
1604,426.0
1605,242.0
1606,78.0
1607,427.0
1608,428.0
1609,429.0
1610,430.0
1611,270.0
1612,214.0
1613,431.0
1615,432.0
1616,433.0
1617,42.0
1618,9.0
1619,64.0
1620,64.0
1621,64.0
1622,41.0
1623,416.0
1624,434.0
1625,435.0
1627,236.0
1628,436.0
1629,41.0
1631,437.0
1632,438.0
1633,299.0
1634,229.0
1635,439.0
1636,440.0
1637,441.0
1638,442.0
1639,443.0
1641,1.0
1642,1.0
1647,92.0
1648,1.0
1649,1.0
1651,144.0
1652,444.0
1653,1.0
1654,445.0
1655,42.0
1657,446.0
1658,258.0
1661,447.0
1662,200.0
1663,448.0
1664,449.0
1665,329.0
1666,450.0
1667,451.0
1668,42.0
1669,1.0
1670,42.0
1671,3.0
1674,42.0
1677,452.0
1681,453.0
1682,3.0
1684,454.0
1685,455.0
1686,456.0
1689,457.0
1690,458.0
1691,96.0
1692,64.0
1693,1.0
1694,9.0
1695,459.0
