poi_id,region_id
4773063,1
33300934,1
28108972,6
34239536,1
26339948,14
11548838,2
33320914,1
26491848,1
15593990,1
15113071,1
34167009,1
27322712,1
11426865,1
33250865,1
28007424,1
33712421,1
27931711,1
19116131,1
32701502,1
33355300,3
4706254,2
25325345,1
12460676,1
27482436,1
14000167,2
8114866,4
33270948,1
12314832,1
32908008,1
4723736,1
14996222,2
33004239,1
33658951,1
26145521,1
12830045,10
28663974,1
8114539,3
24066683,3
26877583,2
19151310,1
32767240,2
33019318,1
27971040,8
33045653,3
13358387,1
25179097,1
27970584,1
24096709,12
11625919,1
19183827,1
32899546,2
20192330,5
28018637,1
17382563,1
15009868,1
25206439,1
11677471,11
2218023,1
13737675,1
2284697,1
13002142,1
24054658,2
26876086,10
26866644,2
3257231,1
33954767,2
23265395,1
34082912,3
32812698,1
25212653,1
25332831,2
1949590,1
32768903,2
32716558,4
11881273,1
26782828,4
33021642,2
25347980,2
31213598,1
11824497,2
26397951,1
24997924,1
27509612,3
29011460,1
28660919,3
10815330,1
26365333,2
12607002,1
23963251,1
33401515,1
33271066,1
32908222,1
8730021,1
5894992,1
25023663,4
11437094,1
23894523,2
4795441,1
24943820,1
26683776,1
15363189,1
2306621,1
12652015,1
7915226,1
2233487,1
26729817,3
11876124,1
23706438,2
15661787,3
33227697,2
25280618,6
19736910,3
17637422,1
8727234,1
19093517,10
26257824,1
8591213,1
34081808,1
19776558,1
34276978,2
17678546,1
20139155,3
33012304,1
26532607,1
23944054,10
28556217,2
24937670,1
14134877,2
23296167,1
34464314,5
25463793,2
15274545,1
16639582,2
2457852,1
15588908,2
19503079,2
12565264,1
25190755,2
8693110,2
12254007,7
26868074,1
19073592,2
23484446,1
33142498,2
32979882,1
15334083,3
27702645,16
15685002,2
25191132,2
14942510,3
15000476,1
33019883,1
26501645,3
27109832,1
24816718,10
32981220,17
33012406,1
33023622,1
11729112,2
28956051,4
9748309,1
28983390,3
5972878,1
27801812,1
14080652,1
19458000,1
23384189,3
24133019,1
19860093,3
6672374,1
16855050,3
17464979,1
6973994,2
7722307,1
33304565,1
27648721,3
28027648,1
12419842,1
19501573,1
26839103,1
28482997,18
28019476,1
19796046,1
34075184,1
34004484,1
26924226,1
27479213,1
26630300,1
33237724,1
7950999,1
27694121,4
33993929,3
31270817,4
12202673,1
33335556,2
5999378,2
33284918,1
33230573,3
20328100,1
15661497,1
7080138,2
6131895,2
19095463,1
11443974,2
12635189,3
6634209,3
3338621,1
28666147,2
25290852,16
6364047,1
19070225,1
25027578,4
12833082,2
33060140,1
14089966,1
17739323,1
33243737,1
27122157,1
33358764,1
26027120,1
24060471,1
15180218,1
32699733,1
4498781,1
28879715,2
8734774,1
26399823,1
11872607,1
25114346,2
11631362,1
14170068,1
27720989,1
25570713,1
11851425,1
33018606,2
32727880,1
6974469,1
13979531,1
15586262,2
15804312,1
10859374,1
